Site_ID,Site_Name,Date,ANC,pH,Cond,Temp,SO4,NO3,Cl,Ca,Mg,K,Na,SIO2
VT67,"East Fork of Chestnut Creek (lower)",1992-01-28,40.67,6.4,9.02,8,15.3,0.68,18.8,18.16,19.09,5.19,33.92,88.41
VT67,"East Fork of Chestnut Creek (lower)",1992-04-28,28.75,6.2,7.96,8,18.35,0.88,19.49,13.22,17.04,5.01,29.14,78.98
VT67,"East Fork of Chestnut Creek (lower)",1992-07-29,40.67,6.3,8.45,15.6,6.13,0.84,18.6,19.91,19.18,3.9,33.1,94.09
VT67,"East Fork of Chestnut Creek (lower)",1992-10-28,56.52,6.4,11.29,10,14.49,0.8,19.95,25.45,25.18,14.16,35.71,97.49
VT67,"East Fork of Chestnut Creek (lower)",1993-01-27,36.12,6.3,8.49,3.3,16.1,1.18,19.26,14.42,19.75,4.32,30.22,82.34
VT67,"East Fork of Chestnut Creek (lower)",1993-04-27,36.32,6.4,8.48,11.7,14.9,0.84,18.8,18.71,20.08,4.8,29.22,77.36
VT67,"East Fork of Chestnut Creek (lower)",1993-07-28,46.22,6.3,8.67,17.8,5.96,0.76,19.35,21.41,20.74,4,34.75,98.89
VT67,"East Fork of Chestnut Creek (lower)",1993-10-27,60.87,6.4,9.89,10,8.36,0.76,19.46,21.51,22.88,9.25,37.27,102.8
VT67,"East Fork of Chestnut Creek (lower)",1994-01-25,38.14,6.3,8.26,2.2,17.64,0.71,19.67,16.17,19.18,5.32,31.7,85.84
VT67,"East Fork of Chestnut Creek (lower)",1994-04-26,42.28,6.4,8.31,11.1,12.93,0.71,19.06,16.52,19.01,4.95,31.7,82.52
VT67,"East Fork of Chestnut Creek (lower)",1994-07-25,48.24,6.3,9.26,16.1,15.15,0.82,17.25,23.3,23.37,4.87,34.23,90.84
VT67,"East Fork of Chestnut Creek (lower)",1994-10-26,42.28,6.5,9.16,8.9,13.89,0.77,18.57,19.61,21.23,7.62,33.66,92.93
VT67,"East Fork of Chestnut Creek (lower)",1995-01-27,33.8,6.2,7.83,6,17.4,0.82,18.69,14.22,18.27,4.45,30.14,84.18
VT67,"East Fork of Chestnut Creek (lower)",1995-04-24,45.72,6.5,8.95,7,12.86,0.76,19,20.66,22.39,5.22,34.92,85.36
VT67,"East Fork of Chestnut Creek (lower)",1995-07-24,50.77,6.5,8.94,16,8.08,0.68,19.26,21.26,22.14,3.82,35.05,96.6
VT67,"East Fork of Chestnut Creek (lower)",1995-10-25,47.03,6.4,8.99,11,13.87,0.56,20.21,19.36,20.33,6.83,34.66,97.03
VT67,"East Fork of Chestnut Creek (lower)",1996-01-30,29.36,6.1,8.69,6,23.57,0.54,19.87,17.07,20.82,4.66,28.96,77.37
VT67,"East Fork of Chestnut Creek (lower)",1996-04-30,33.9,6.1,11.12,10,27.49,0.65,17.25,30.59,30.78,8.01,32.49,68.76
VT67,"East Fork of Chestnut Creek (lower)",1996-07-30,47.03,6.4,9.05,16,7.55,0.65,19.44,22.66,21.89,3.95,34.92,96.33
VT67,"East Fork of Chestnut Creek (lower)",1996-10-30,50.77,6.2,9.32,,11.66,0.65,19.49,20.16,21.81,7.01,35.4,96.71
VT67,"East Fork of Chestnut Creek (lower)",1997-01-28,38.14,6.2,10.22,7.2,23.59,0.62,25.74,22.61,24.94,6.01,35.4,78.6
VT67,"East Fork of Chestnut Creek (lower)",1997-05-07,46.42,6.4,8.83,9,15.09,0.62,19.09,19.76,22.55,5.01,31.01,80.79
VT67,"East Fork of Chestnut Creek (lower)",1997-07-22,61.68,6.4,10.41,16,6.61,0.63,20.01,24.5,24.69,5.38,36.01,99.14
VT67,"East Fork of Chestnut Creek (lower)",1997-10-31,54.61,6.3,9.86,12,10.16,0.67,19.49,20.21,20.9,7.67,36.75,101.8
VT67,"East Fork of Chestnut Creek (lower)",1998-04-27,43.19,6.2,9.18,14,14.83,0.62,19.78,19.56,21.97,5.11,30.18,75.13
VT67,"East Fork of Chestnut Creek (lower)",1998-07-22,59.25,6.4,9.49,20,6.07,1.3,20.73,22.31,22.88,4.48,34.97,96.32
VT67,"East Fork of Chestnut Creek (lower)",1999-01-25,32.18,6.0,10.64,6,29.27,0.96,22.74,23.5,26.01,6.93,28.96,71.07
VT67,"East Fork of Chestnut Creek (lower)",1999-04-28,54,6.3,10.72,10,17.02,0.84,19.46,28.19,26.34,6.38,34.1,84.13
VT67,"East Fork of Chestnut Creek (lower)",1999-07-30,61.37,6.3,10.22,19,8,1.36,20.33,27.89,26.34,5.01,36.45,95.65
VT67,"East Fork of Chestnut Creek (lower)",2000-04-25,38.14,6.1,9.57,9,21.13,0.74,18.69,22.71,25.18,5.64,29.53,74.6
VT67,"East Fork of Chestnut Creek (lower)",2000-07-25,51.58,6.4,8.07,15.5,1.74,0.74,17.19,18.41,21.32,3.82,31.31,92.22
VT67,"East Fork of Chestnut Creek (lower)",2000-10-31,63.39,6.6,9.89,9,7.85,0.68,19.38,22.46,22.63,7.99,37.23,104.1
VT67,"East Fork of Chestnut Creek (lower)",2001-01-26,44.81,6.3,9.77,2,18.99,0.74,19.84,21.66,20.58,5.35,36.27,92.26
VT67,"East Fork of Chestnut Creek (lower)",2001-04-27,49.86,6.4,9.57,13,14.3,0.73,19.44,21.61,20.9,5.19,35.53,90.6
VT67,"East Fork of Chestnut Creek (lower)",2001-07-25,49.96,6.6,10.05,16,12.77,0.79,19.09,26.35,24.53,5.01,35.97,94.74
VT67,"East Fork of Chestnut Creek (lower)",2001-10-25,59.96,6.4,11.1,13,12.48,0.74,21.82,24.3,25.18,11.6,36.18,99.59
VT67,"East Fork of Chestnut Creek (lower)",2002-01-25,34.41,6.1,10.26,6,26.62,0.79,19.98,23.25,24.2,6.67,32.14,79.18
VT67,"East Fork of Chestnut Creek (lower)",2002-04-29,45.72,6.4,9.38,13,15.45,0.8,19.12,21.01,21.15,5.64,35.18,85.87
VT67,"East Fork of Chestnut Creek (lower)",2002-07-25,55.72,6.3,10.87,16,16.05,0.8,19,30.89,25.35,6.61,36.05,95.5
VT67,"East Fork of Chestnut Creek (lower)",2002-10-28,52.48,6.4,9.98,13,19.16,0.66,21.13,27.3,25.76,8.8,37.01,95.63
VT67,"East Fork of Chestnut Creek (lower)",2003-01-29,42.28,6.3,8.89,2.5,16.18,0.71,21.13,19.91,20.25,4.58,34.97,89.16
VT67,"East Fork of Chestnut Creek (lower)",2003-04-28,38.95,6.2,8.71,,20.19,0.67,20.18,19.16,21.73,4.37,31.66,78.79
VT67,"East Fork of Chestnut Creek (lower)",2003-07-28,39.86,6.2,9,15,17.19,0.68,19.29,20.41,22.72,3.98,32.27,87.63
VT67,"East Fork of Chestnut Creek (lower)",2003-10-27,42.28,6.2,12.4,11.5,31.05,0.7,22,29.04,29.71,17.48,35.44,84.31
VT67,"East Fork of Chestnut Creek (lower)",2004-02-05,44.51,6.3,9.3,2.5,15.52,0.68,19.95,18.81,21.07,4.66,34.92,83.15
VT67,"East Fork of Chestnut Creek (lower)",2004-04-30,47.33,6.4,9.5,10.5,16.87,0.68,18.83,21.51,23.62,5.4,34.27,79.13
VT67,"East Fork of Chestnut Creek (lower)",2004-07-27,55.82,6.4,10.1,15.6,12.39,0.71,18.8,24.9,25.76,5.35,36.1,95.63
VT67,"East Fork of Chestnut Creek (lower)",2004-10-27,44.81,6.2,10,12.5,18.02,0.65,21.62,21.51,22.63,8.96,35.57,91.34
VT67,"East Fork of Chestnut Creek (lower)",2005-01-26,39.05,6.2,8.2,4.5,12.24,0.7,19.98,15.97,20.16,4.53,30.09,83.67
VT67,"East Fork of Chestnut Creek (lower)",2005-04-25,39.76,6.3,9,8.9,16.8,0.7,18.72,18.81,22.47,4.74,32.92,81.76
VT67,"East Fork of Chestnut Creek (lower)",2005-07-26,43.9,6.1,8.7,15,12.33,0.7,19.7,20.11,22.96,3.95,30.22,87.38
VT67,"East Fork of Chestnut Creek (lower)",2005-10-25,47.4,6.3,9.2,10,16.11,0,19.32,18.31,21.2,6.85,37.35,96.53
VT67,"East Fork of Chestnut Creek (lower)",2006-01-25,41.37,6.3,9.2,5,20.86,0,20,19.14,23.01,5.87,34.48,87.45
VT67,"East Fork of Chestnut Creek (lower)",2006-04-24,55.78,6.5,9.8,12,16.4,0,19.09,25.42,25.29,6.26,37.51,86.49
VT67,"East Fork of Chestnut Creek (lower)",2006-07-24,52.45,6.4,9.1,15.5,13.3,0,19.1,22.02,22.67,4.59,36.67,96.86
VT67,"East Fork of Chestnut Creek (lower)",2006-10-30,43.28,6.3,10.1,,26.14,0,19.35,21,25.13,8.26,35.29,91.42
VT67,"East Fork of Chestnut Creek (lower)",2007-01-25,36.12,6.4,9,,14.27,0,20.71,14.78,19.29,4.63,31.6,85.77
VT67,"East Fork of Chestnut Creek (lower)",2007-04-24,42.26,6.4,9.5,9,18.07,0,19.18,19.98,23.15,5.36,35.16,82.75
VT67,"East Fork of Chestnut Creek (lower)",2007-07-25,50.63,6.4,9.4,14,17.82,0,18.56,27.15,25.59,7.32,36.09,90.41
VT67,"East Fork of Chestnut Creek (lower)",2007-10-26,5.41,5.3,12.4,13.5,50.96,0.62,21.22,27.43,28.46,9.69,22.74,58.1
VT67,"East Fork of Chestnut Creek (lower)",2008-01-25,40.68,6.3,8.4,1,16.78,1.01,20.81,15.84,19.96,4.5,36.21,95.1
VT67,"East Fork of Chestnut Creek (lower)",2008-04-25,38.31,6.4,9.5,11,20.54,0.98,20.27,18.96,23,5.5,34.89,85.09
VT67,"East Fork of Chestnut Creek (lower)",2008-07-31,58.77,6.4,10.3,17,8.89,0.74,20.44,26.22,24.42,5.86,38.5,100.6
VT67,"East Fork of Chestnut Creek (lower)",2008-10-27,35.63,6.2,9.4,10,17.63,0,22,20.67,23.42,6.47,32.43,84.44
VT67,"East Fork of Chestnut Creek (lower)",2009-01-26,39.7,6.4,8.9,3,17.07,0,20.64,17.85,19.44,4.72,35.87,87.35
VT67,"East Fork of Chestnut Creek (lower)",2009-05-04,37.51,6.4,9.7,14.5,22.77,0,20.31,20.46,23.1,5.79,33.74,78.17
VT67,"East Fork of Chestnut Creek (lower)",2009-07-27,50.45,6.5,8.9,15,10.4,0,20.22,19.05,19.06,4.32,37.2,92.7
VT67,"East Fork of Chestnut Creek (lower)",2009-10-27,49.94,6.3,10.5,10,14.86,0,21.79,24.25,25.3,7.59,36.82,92.6
VT67,"East Fork of Chestnut Creek (lower)",2010-04-26,43.74,6.5,9.1,11,14.94,0,19.23,17.14,20.09,5.21,34.16,82.2
VT67,"East Fork of Chestnut Creek (lower)",2010-07-26,59.96,6.3,10.2,20,7.25,0,20.3,21.61,21.93,5.52,40.28,99.01
VT67,"East Fork of Chestnut Creek (lower)",2010-10-26,60.22,6.3,11.4,13,13.03,1.21,23.57,23.46,28.3,14.2,39.01,98.97
VT67,"East Fork of Chestnut Creek (lower)",2011-01-31,46.03,6.3,9.8,3.5,17.7,0.26,21.95,19.36,20.11,6.04,41.25,89.16
VT67,"East Fork of Chestnut Creek (lower)",2011-04-27,38.59,6.3,9.4,13,15.05,0.24,24.89,18.21,21.48,6.92,36.12,80.85
VT67,"East Fork of Chestnut Creek (lower)",2011-07-25,53.07,6.3,9.9,18,9.96,0,21.09,22.3,22.7,6.37,37.84,97.25
VT67,"East Fork of Chestnut Creek (lower)",2011-10-25,42.35,6.4,9.8,10,18.23,0,20.83,19.23,21.14,7.21,38.69,95.07
VT81,"East Fork of Chestnut Creek (upper)",2001-04-27,49.86,6.5,9.57,11,14.17,0.73,18.4,21.11,20.58,5.24,35.92,91.2
VT81,"East Fork of Chestnut Creek (upper)",2001-07-25,48.95,6.1,9.92,16,12.82,0.79,20.7,25.95,24.44,5.01,36.23,95.65
VT81,"East Fork of Chestnut Creek (upper)",2001-10-25,54,6.2,10.48,12,11.66,0.74,20.16,23.1,23.29,11.57,37.45,99.64
VT81,"East Fork of Chestnut Creek (upper)",2002-01-25,37.23,6.1,10.68,6,29.96,0.79,20.16,24.95,26.34,6.91,33.4,81.94
VT81,"East Fork of Chestnut Creek (upper)",2002-04-29,48.24,6.4,9.31,13,15.3,0.8,18.34,20.51,20.9,5.61,35.62,86.85
VT81,"East Fork of Chestnut Creek (upper)",2002-07-25,53.19,6.2,10.64,16,15.84,0.8,19.35,30.09,25.68,6.46,36.53,95.5
VT81,"East Fork of Chestnut Creek (upper)",2002-10-28,50.67,6.3,9.77,13,18.92,0.66,21.25,26.15,24.94,8.59,36.84,95.44
VT81,"East Fork of Chestnut Creek (upper)",2003-01-29,40.67,6.3,8.89,2.5,15.9,0.71,21.02,19.31,20.16,4.58,34.75,89.34
VT81,"East Fork of Chestnut Creek (upper)",2003-04-28,38.95,6.3,8.51,,20.1,0.67,20.67,18.61,21.23,4.48,31.57,78.77
VT81,"East Fork of Chestnut Creek (upper)",2003-07-28,40.67,6.1,9.2,15,17.34,0.68,19.32,19.21,22.39,3.95,32.7,87.98
VT81,"East Fork of Chestnut Creek (upper)",2003-10-27,40.67,6.2,12.3,11.5,30.17,0.7,21.85,26.2,28.23,17.19,35.36,84.3
VT81,"East Fork of Chestnut Creek (upper)",2004-02-05,41.37,6.3,9.1,2.5,16.4,0.68,19.12,18.16,20.25,4.58,35.62,84.93
VT81,"East Fork of Chestnut Creek (upper)",2004-04-30,45.72,6.4,9.5,10,18.07,0.7,18.8,21.26,23.54,5.43,34.62,79.12
VT81,"East Fork of Chestnut Creek (upper)",2004-07-27,49.96,6.3,10.1,15.6,12.15,0.71,18.92,24.85,25.68,5.24,35.92,95.85
VT81,"East Fork of Chestnut Creek (upper)",2004-10-27,42.28,6.3,9.5,12.5,18.22,0.68,19.72,20.06,22.55,7.56,34.31,90.47
VT81,"East Fork of Chestnut Creek (upper)",2005-01-26,39.05,6.3,8.6,4.5,16.37,0.7,18.77,17.02,20.33,4.48,32.62,87.14
VT81,"East Fork of Chestnut Creek (upper)",2005-04-25,39.76,6.4,8.9,8.9,16.91,0.7,18.8,18.71,22.22,4.56,32.1,81.74
VT81,"East Fork of Chestnut Creek (upper)",2005-07-26,40.57,6.1,9.1,15,18.05,0.7,18.46,20.21,24.11,4.21,32.75,88.9
VT81,"East Fork of Chestnut Creek (upper)",2005-10-25,47.4,6.4,9.1,10,16.13,0,19.24,18.33,21.92,6.97,37.41,96.61
VT81,"East Fork of Chestnut Creek (upper)",2006-01-25,40.58,6.3,8.8,5,21.39,0,19.12,18.72,22.83,5.22,33.59,87.2
VT81,"East Fork of Chestnut Creek (upper)",2006-04-24,54.12,6.5,9.7,12,16.16,0,19.21,24,24.82,6.34,37.67,87.35
VT81,"East Fork of Chestnut Creek (upper)",2006-07-24,51.47,6.4,9.1,15,13.3,0.45,19.16,21.61,22.7,4.58,36.73,97.08
VT81,"East Fork of Chestnut Creek (upper)",2006-10-30,43.15,6.3,10.1,,26.11,0,19.37,20.95,24.94,8.3,35.4,91.62
VT81,"East Fork of Chestnut Creek (upper)",2007-02-05,39.38,6.6,8.3,1,15.3,0.91,19.72,16.26,19.16,4.34,34.88,88.68
VT81,"East Fork of Chestnut Creek (upper)",2007-04-24,42.43,6.4,9.5,9,18.14,0,19.07,19.61,23.27,5.41,35.47,81.78
VT81,"East Fork of Chestnut Creek (upper)",2007-07-25,50.15,6.4,9.5,14,17.53,0,18.46,26.74,25.72,7.29,36.17,90.61
VT81,"East Fork of Chestnut Creek (upper)",2007-10-26,5.03,5.2,12.4,13.5,51.3,0.69,21.09,27.18,28.54,9.67,22.84,57.53
VT81,"East Fork of Chestnut Creek (upper)",2008-01-25,43.41,6.4,8.3,1,17.83,0.99,20.16,17.67,19.62,4.84,38.8,98.98
VT81,"East Fork of Chestnut Creek (upper)",2008-04-25,38.25,6.4,9.6,11,20.84,0,20.29,18.67,22.87,5.53,35.22,85.87
VT81,"East Fork of Chestnut Creek (upper)",2008-07-31,59.57,6.4,9.9,17,8.5,0,19.13,26.19,23.57,5.04,39.19,100.2
VT81,"East Fork of Chestnut Creek (upper)",2008-10-27,40.89,6.3,10.1,9,20.14,0,21.57,21.45,23.57,7.74,37.02,90.6
VT81,"East Fork of Chestnut Creek (upper)",2009-01-26,38.84,6.3,8.9,3,16.93,0,20.58,16.04,19.02,4.74,36.01,87.74
VT81,"East Fork of Chestnut Creek (upper)",2009-05-04,36.96,6.3,9.9,14,25.47,0,20.31,22.15,23.58,5.93,34.43,78.17
VT81,"East Fork of Chestnut Creek (upper)",2009-07-27,49.73,6.5,9,16,10.2,0,19.99,17.66,18.86,4.3,37.32,92.7
VT81,"East Fork of Chestnut Creek (upper)",2009-10-27,47.25,6.4,10.1,10,16.65,0,20.62,18.72,20.58,8.22,38.11,94.15
VT81,"East Fork of Chestnut Creek (upper)",2010-04-26,43.95,6.4,9.1,11,14.92,0,19.33,17.5,20.14,5.24,34.28,82.59
VT81,"East Fork of Chestnut Creek (upper)",2010-07-26,58.65,6.4,9.9,18.3,7.28,0.25,19.72,22.5,22.26,5.19,39.52,99.2
VT81,"East Fork of Chestnut Creek (upper)",2010-10-26,61.52,6.4,11.3,13,13.07,0.59,21.57,24.39,23.57,15.39,40.72,98.37
VT81,"East Fork of Chestnut Creek (upper)",2011-01-31,45.88,6.2,9.5,3.5,17.4,0,19.66,19.68,20.05,5.58,38.84,90.33
VT81,"East Fork of Chestnut Creek (upper)",2011-04-27,36.46,6.3,9.2,13,20.2,0.24,20.58,17.25,21.54,6.04,34.77,81.98
VT81,"East Fork of Chestnut Creek (upper)",2011-07-25,53.62,6.4,9.6,18,9.55,0.39,20.1,21.82,21.79,6,38.09,95.97
VT81,"East Fork of Chestnut Creek (upper)",2011-10-25,43.35,6.4,9.5,10,18.23,0,20.03,19.07,20.78,6.92,37.84,95.26
VT81,"East Fork of Chestnut Creek (upper)",2012-01-27,33.83,6.2,9.6,,23.86,0,18.7,19.4,22.03,6.19,33.6,77.87
VT81,"East Fork of Chestnut Creek (upper)",2012-04-26,36.7,6.1,9.6,10,20.46,0,15.93,22.55,25.12,6.88,30.94,67.49
VT81,"East Fork of Chestnut Creek (upper)",2012-07-25,51.83,6.4,9.7,18,11.36,0.31,18.71,23.73,23.25,5.4,37.03,94.56
VT81,"East Fork of Chestnut Creek (upper)",2012-10-24,56.38,6.5,10.4,12,12.59,0.47,20.94,18.17,19.4,8.73,40.59,100.5
VT81,"East Fork of Chestnut Creek (upper)",2013-01-28,36.17,6.4,9.1,5,21.88,0,19.33,17.18,20.67,5.46,35.09,86.77
VT81,"East Fork of Chestnut Creek (upper)",2013-04-25,41.82,6.5,9.1,10,19.6,0,19.15,18.86,22.04,5.45,34.22,79.18
VT81,"East Fork of Chestnut Creek (upper)",2013-07-24,30.73,6.3,8.9,16,21.39,0,18.18,15.99,21.13,4.88,31.43,81.35
VT81,"East Fork of Chestnut Creek (upper)",2013-10-24,51.43,6.5,9.6,9,11.23,0,19.58,17.96,17.75,8.6,36.94,98.98
VT81,"East Fork of Chestnut Creek (upper)",2014-01-27,39.18,6.4,8.7,3,17.65,0,18.41,17.1,19.57,5.2,34.81,88.48
VT81,"East Fork of Chestnut Creek (upper)",2014-07-28,56.94,6.6,9.5,16,8.31,3.05,19.38,24.76,22.99,5.32,39.32,100.7
VT81,"East Fork of Chestnut Creek (upper)",2014-10-23,50.03,6.4,9.8,8,13.86,0.83,18.54,23.3,23.2,8.51,38.15,101.4
VT81,"East Fork of Chestnut Creek (upper)",2015-01-26,43.79,6.4,9,4,18.33,0.32,17.85,21.54,21.23,5.49,36.88,89.22
VT81,"East Fork of Chestnut Creek (upper)",2015-07-27,63.21,6.4,10.1,17,8.12,1.34,18.86,26.45,24.98,5.7,40.6,98.96
VT81,"East Fork of Chestnut Creek (upper)",2015-10-28,6.17,5.2,12,,45.02,1.56,17.11,25.71,27.84,11.9,18.56,48.36
VT81,"East Fork of Chestnut Creek (upper)",2016-02-01,42.68,6.4,8.7,4.5,16.64,0,18.17,16.29,19.85,5.15,35.06,85.28
VT81,"East Fork of Chestnut Creek (upper)",2016-04-25,49.33,6.4,9.2,14,13.98,0.15,18.97,17.97,20.54,5.91,37.41,83.55
VT81,"East Fork of Chestnut Creek (upper)",2016-07-27,58.39,6.5,9.7,17.5,9.37,0.16,18.56,21.12,21.36,5.37,38.21,97.67
VT81,"East Fork of Chestnut Creek (upper)",2016-10-25,55.54,6.5,9.7,10,12.19,0,19.15,17.66,20.94,9.47,38.22,100.2
VT81,"East Fork of Chestnut Creek (upper)",2017-01-27,37.07,6.4,9.5,5,24.33,0,16.99,17.33,20.55,6.06,34.61,89.41
VT81,"East Fork of Chestnut Creek (upper)",2017-04-26,24.58,6.1,9.4,13,31.31,0.06,16.45,15.01,21.26,6.35,28.73,73.73
VT81,"East Fork of Chestnut Creek (upper)",2017-07-28,54.89,6.5,9.7,17,9.56,0,17.67,20.31,21.87,5.67,38.64,96.47
VT81,"East Fork of Chestnut Creek (upper)",2017-10-31,33.03,6.3,9.2,9.5,23.58,0,17.95,14.97,18.54,6.26,33.88,89.98
VT81,"East Fork of Chestnut Creek (upper)",2018-01-29,37.98,6.4,9.2,6,19.01,0,18.13,15.83,18.31,6.17,36.35,86.67
VT81,"East Fork of Chestnut Creek (upper)",2018-04-26,22.47,6.0,8.7,10,30.94,0,15.75,13.8,19.6,5.9,25.76,67.54
VT81,"East Fork of Chestnut Creek (upper)",2018-07-25,56.15,6.5,9.5,16,8.93,0,18.83,21.62,22.61,5.13,37.91,94.92
VT81,"East Fork of Chestnut Creek (upper)",2018-10-25,39.91,6.2,8.9,9,16.71,0,18.92,15.69,19.19,5.52,35.07,92.16
VT81,"East Fork of Chestnut Creek (upper)",2019-01-25,31.19,6.2,8.2,5,24.77,0,14.94,14.45,20.78,5.3,28.55,74.19
VT81,"East Fork of Chestnut Creek (upper)",2019-04-23,41.66,6.4,8.7,10.5,22.2,0,15.77,19.08,24.27,5.76,31.39,77.84
VT81,"East Fork of Chestnut Creek (upper)",2019-07-29,54.57,6.5,9,15.5,10.4,0,17.49,21.3,22.84,4.97,36.76,96.83
VT81,"East Fork of Chestnut Creek (upper)",2019-10-28,37.08,6.3,9.7,13,19.97,0,18.05,17.98,20.66,8.7,32.75,84.75
VT81,"East Fork of Chestnut Creek (upper)",2020-01-28,36.26,6.3,8.9,6,22.02,0,16.92,17.21,21.61,5.48,32.26,83.05
VT81,"East Fork of Chestnut Creek (upper)",2020-04-28,39.6,6.5,9,12,19.22,0,16.42,17.99,21.51,5.56,32.8,81.08
VT81,"East Fork of Chestnut Creek (upper)",2020-07-29,48.15,6.1,9.4,17,10.73,0,17.51,20.62,22.32,5.38,35.54,94.21
VT81,"East Fork of Chestnut Creek (upper)",2020-10-26,44.23,6.5,9.4,13.5,17.03,0,16.48,18.55,22.9,7.98,34.32,92.93
VT81,"East Fork of Chestnut Creek (upper)",2021-01-29,39.14,6.4,8.6,3,17.2,0,16.24,16.31,20.12,5.25,32.71,84.61
VT81,"East Fork of Chestnut Creek (upper)",2021-04-30,45.36,6.5,9.3,14.5,14.82,0,17.08,18.42,21.02,5.86,34.22,80.49
VT81,"East Fork of Chestnut Creek (upper)",2021-07-28,53.61,6.3,9.6,17,10.5,0,17.4,21.05,21.68,4.88,37.1,102.7
